country,name,type
United Kingdom,LASTING WORDS LTD,Publishers / Comprehensive Publishing
United Kingdom,MODERNFIRSTEDITIONS,Publishers / Literature Publishing
United Kingdom,NEIL SUMMERSGILL,Publishers / Culture & Art Publishing
United Kingdom,PETER HILL,Publishers / Culture & Art Publishing
United Kingdom,R E & G B WAY,Publishers / Lifestyle Publishing
Ukraine,Юніверс,Publishers / Comprehensive Publishing
Ukraine,Юнісофт,Publishers / Comprehensive Publishing
Canada,De Marque,Publishers
United States,"RED WHEEL/WEISER, LLC",Publishers
United Kingdom,RED INK LITERARY AGENCY,Publishers
Ukraine,Юрінком Інтер,Publishers / Other
United States,"REGAL LITERARY, INC.",Publishers
Ukraine,Яніна,Publishers / Comprehensive Publishing
Ukraine,Янтар,Publishers
India,REPLIKA PRESS PVT LTD,Publishers
Ukraine,Ярославів вал,Publishers / Comprehensive Publishing
United States,RENEE ZUCKERBROT LITERARY AGENCY LLC,Publishers
India,REPRO INDIA LTD,Publishers
Saudi Arabia,Al Alami Establishment,Publishers / Literature Publishing
Saudi Arabia,Al Alamia Publishing House,Publishers / Comprehensive Publishing
Saudi Arabia,Al Ayam Publishing Est.,Publishers / Literature Publishing
Saudi Arabia,Al Bashaar for Programing,Publishers / Digital Publishing
United Kingdom,RIPLEY PUBLISHING LTD,Publishers
United Kingdom,RINGGOLD INC,Publishers
Saudi Arabia,Al Bashaar for Publishing,Publishers / Children's Publishing
United States,DK Publishing,Publishers / Comprehensive Publishing
Germany,Gerhart-Hauptmann-Haus,Publishers
France,Edition CHOTT,Publishers / Comics Publishing
Germany,Gemeinschaftswerk der Evangelischen Publizistik gemeinnützige GmbH (GEP),Publishers
Germany,"GEO, DPV Deutscher Pressevertrieb GmbH",Publishers
Turkey,SÖZLER NEŞRİYAT SAN.VE TİC.A.Ş.,Publishers
United Kingdom,STILTON LITERARY AGENCY (NORWAY),Publishers
United Kingdom,ALLSWORTH RARE BOOKS,Publishers / Comprehensive Publishing
United Kingdom,Leo Cadogan Rare Books Ltd,Publishers / Comprehensive Publishing
United Kingdom,Robert Frew Ltd,Publishers / Comprehensive Publishing
United Kingdom,RUSSELL RARE BOOKS,Publishers / Comprehensive Publishing
Saudi Arabia,Al Bayan Magazine,Publishers / Religious Publishing
Ukraine,Издательство Університетська книга,Publishers / Scholarly Publishing
France,CITADELLES & MAZENOD,Publishers / Comics Publishing
United Kingdom,STISON LTD,Publishers
Germany,"Gerlach, Christine, Dr.",Publishers
Germany,Gerth Medien GmbH (Musikverlag),Publishers
United States,STOREY PUBLISHING LLC,Publishers
Germany,GMA - Großhandel für Modernes Antiquariat GmbH,Publishers
Germany,SUHRKAMP VERLAG,Publishers
Germany,"Glückschuh Verlag, Dorothea Flechsig",Publishers / Children's Publishing
Germany,GÖRG ORIGINAL,Publishers
Germany,GOLKONDA Verlag GmbH,Publishers
Germany,"GOMBROWICZ-BLÄTTER, Verlag der Blauhut & Fuchs GbR",Publishers
Germany,gONZoverlag GmbH,Publishers
Ukraine,Видавничо-консалтингова корпорація «Фактор»,Publishers / Comprehensive Publishing
Germany,"Grafik Werkstatt ""Das Original"" e. K.",Publishers
United States,INSIGHT EDITIONS,Publishers
United Kingdom,INSIGHT GUIDES/BERLITZ PUBLISHING,Publishers
United Kingdom,RAINTREE,Publishers
Germany,Graphische Werkstätten Zittau GmbH,Publishers
Germany,"Graswurzelrevolution, Verlag",Publishers
Ukraine,Хай-Тек Прес,Publishers / Economic & Financial Publishing
United Kingdom,Unsworth's Antiquarian Booksellers,Publishers / Comprehensive Publishing
United Kingdom,TONY YATES ANTIQUARIAN BOOKS,Publishers / Literature Publishing
United Kingdom,WORLDS END BOOKSHOP,Publishers / Comprehensive Publishing
United States,COMBINED BOOK EXHIBIT,Publishers
United States,Calliope Press,Publishers / Comprehensive Publishing
France,Technip Editions,Publishers / Comprehensive Publishing
Canada,OWLKIDS BOOKS,Publishers / Children's Publishing
Canada,PEMBROKE PUBLISHERS,Publishers / Textbook Publishing
Canada,QUÉBEC AMÉRIQUE (QA INTERNATIONAL),Publishers / Comprehensive Publishing
United Kingdom,PETER WHETMAN,Publishers / Comprehensive Publishing
United Kingdom,Robert Kirkman Ltd,Publishers / Comprehensive Publishing
Spain,ALFREDO ORTELLS,Publishers
Spain,Calambur,Publishers
Spain,EDITORIAL DESCLÉE DE BROUWER,Publishers / Comprehensive Publishing
Spain,INSTITUTO DE ESTUDIOS ECONÓMICOS,Publishers
Spain,Inde Publicaciones,Publishers
Spain,EDITORIAL MONTE CARMELO,Publishers
Spain,Ediciones Mensajero,Publishers / Magazine Publishing
Spain,"RA-MA, S.A. EDITORIAL Y PUBLICACIONES",Publishers
Spain,Editorial Renacimiento,Publishers
Germany,Frankfurter Taschenbuchverlag GmbH,Publishers
United States,DAP Distributed Art Publishers,Publishers / Culture & Art Publishing
United States,SPI GLOBAL,Publishers
Canada,SPICEBOX LTD,Publishers
United Kingdom,SOPHIE SCHNEIDEMAN RARE BOOKS,Publishers / Comprehensive Publishing
United Kingdom,T P BOOKS,Publishers / Literature Publishing
United Kingdom,TOBY ENGLISH,Publishers / Comprehensive Publishing
United Kingdom,TYSONS BOOKS LTD,Publishers / Comprehensive Publishing
Canada,Voyager Press Rare Books,Publishers / Comprehensive Publishing
United Kingdom,WESTFIELD BOOKS,Publishers / Comprehensive Publishing
United Kingdom,WILDSIDE BOOKS,Publishers / Comprehensive Publishing
United Kingdom,YESTERDAY’S BOOKS,Publishers / Literature Publishing
United Kingdom,Paul Foster,Publishers / Comprehensive Publishing
United Kingdom,BERNARD QUARITCH LTD,Publishers / Comprehensive Publishing
United Kingdom,JUSTIN CROFT ANTIQUARIAN BOOKS,Publishers / Comprehensive Publishing
United Kingdom,A & Y Cumming Ltd,Publishers
United Kingdom,McNaughtan's Bookshop,Publishers / Comprehensive Publishing
United Kingdom,Omega Bookshop,Publishers / Comprehensive Publishing
United Kingdom,Michael Phelps,Publishers / Comprehensive Publishing
United Kingdom,Quadrille,Publishers / Comprehensive Publishing
Germany,"Gröger, Birgit",Publishers
India,RANDOM PUBLICATIONS,Publishers
Saudi Arabia,Al Dar Al Arabia for Publishing,Publishers / Popular Science Publishing
United Kingdom,JESSICA KINGSLEY PUBLISHERS LTD,Publishers
Saudi Arabia,Al Dar Al Masriah Al Lubnaniah,Publishers / Comprehensive Publishing
Spain,Santillana Ediciones Generales S.L.,Publishers / Comprehensive Publishing
Saudi Arabia,Al Dar Al Alamyah for Books and Publishing,Publishers / Comprehensive Publishing
Germany,Frankfurter Verlagsanstalt GmbH,Publishers / Comprehensive Publishing
Germany,Freigeist Verlag,Publishers
Germany,freiraum-verlag UG,Publishers
United States,Daphne Michaels Books,Publishers / Literature Publishing
Germany,Freytag & Berndt GmbH,Publishers
Romania,IGLOO MEDIA,Publishers
Germany,Friedrich-Maerker-Verlag,Publishers
Slovenia,IKAR,Publishers
Germany,"Gabriele-Verlag, Das Wort GmbH",Publishers
Germany,"Galiani Berlin, Verlag, bei Kiepenheuer & Witsch",Publishers
United Kingdom,"ILEX PRESS LTD, THE",Publishers
Ukraine,Таврида,Publishers / Comprehensive Publishing
Germany,Gebrüder Frech Verlag,Publishers
Switzerland,ILO PUBLICATIONS,Publishers
Ukraine,Темпора,Publishers / Comprehensive Publishing
Ukraine,Видавництво Терен,Publishers / Comprehensive Publishing
Germany,Geheimsprachen Verlag,Publishers
Germany,FINALFUN SHOP,Publishers / Comics Publishing
Germany,"Fink, Wilhelm, GmbH & Co. Verlags KG",Publishers
United Kingdom,SNAZAL WHOLESALE,Publishers / Comprehensive Publishing
United States,CrashLaneNews.com,Publishers / Lifestyle Publishing
Germany,Finnland-Institut in Deutschland,Publishers
United Kingdom,JIM OLDROYD BOOKS,Publishers
Russia,RUSSIA BEYOND THE HEADLINES,Publishers
Saudi Arabia,Al Etkan Production,Publishers / Digital Publishing
Ukraine,Тіповіт,Publishers
Ukraine,Торсінг плюс,Publishers / Children's Publishing
United Kingdom,IMPRESS BOOKS,Publishers
Ukraine,Тріада плюс,Publishers / Comprehensive Publishing
United Kingdom,STAR BOOK SALES,Publishers
Germany,Fireangels,Publishers / Comics Publishing
Ukraine,Видавництво «Смолоскип»,Publishers / Comprehensive Publishing
Germany,"Fischer, S. Verlag GmbH",Publishers / Children's Publishing
United Kingdom,I AM A BOOKWORM,Publishers
Russia,SOLZHENITSYN HOUSE FOR THE RUSSIAN DIASPORA,Publishers
Germany,FISCHER Krüger,Publishers / Comprehensive Publishing
France,DELCOURT,Publishers / Comics Publishing
United Kingdom,I B TAURIS & CO LTD,Publishers
Germany,Fleischmann Software Vertriebs GmbH,Publishers
France,DEDALES EDITIONS,Publishers / Children's Publishing
United Kingdom,"SOURCEBOOKS, INC",Publishers
Nigeria,I E C CAREER INVESTMENT LTD,Publishers
Germany,Fodito,Publishers
Germany,"Folkmanis Puppets, Jochen Heil",Publishers
Germany,FORMAT Druckerei & Verlagsgesellschaft mbH,Publishers
Germany,Fornoff und Heintzenberg GmbH,Publishers
Romania,Regia Autonoma Monitorul Oficial,Publishers / Comprehensive Publishing
Ukraine,Свічадо,Publishers / Comprehensive Publishing
Czech Republic,Vydavateľstvo Matys,Publishers / Children's Publishing
Germany,F&L Schulorganisation GmbH & Co.KG,Publishers
Germany,FABULAden - Buchhandlung LeseLaune,Publishers
Ukraine,Український письменник,Publishers / Comprehensive Publishing
Ukraine,Український пріоритет,Publishers / Comprehensive Publishing
Germany,Genesis-Verlag Meinrad Huegel,Publishers
France,COYOTE NOIR - BELGIQUE WALLONIE BRUXELLES,Publishers
Germany,FLVG Verlagshaus OHG,Publishers
United Kingdom,SPECIAL INTEREST MODEL BOOKS LTD,Publishers
France,DAGAN EDITIONS,Publishers / Comics Publishing
Germany,"FQL Publishing, Gabriele & Stephan Ehlers",Publishers
Italy,IBISKOS ULIVIERI,Publishers
Ukraine,Видавництво Старого Лева,Publishers / Comprehensive Publishing
United Kingdom,SHIRE PUBLICATIONS LTD,Publishers
Germany,Frank & Timme GmbH,Publishers
Germany,Frank Eissner Handpresse,Publishers
France,D.I.G.,Publishers / Comics Publishing
United Kingdom,ICON BOOKS,Publishers
Germany,Fachhochschule Dortmund,Publishers
Germany,"Fachhochschule Bielefeld, Fachbereich Gestaltung",Publishers
Germany,HOUSHAMADYAN PROJECT,Publishers
Germany,Fachhochschule Potsdam,Publishers / Textbook Publishing
Germany,Fahnauer Verlag,Publishers
France,DES RONDS DANS L’O,Publishers / Comics Publishing
Germany,falkemedia e.K.,Publishers
Turkey,HRANT DINK FOUNDATION PUBLICATIONS,Publishers
Germany,FAU Erlangen-Nürnberg,Publishers / Comprehensive Publishing
Germany,"Federwelt, Sandra Uschtrin",Publishers
Ukraine,Самміт-книга,Publishers / Comprehensive Publishing
Germany,Feder & Schwert GmbH,Publishers
Germany,Fedrigoni Deutschland GmbH,Publishers
Germany,"fehu, familia Verlag, Verlag von Koch Dialog e. K.",Publishers
Spain,SILVIA BASTOS LITERARY AGENCY,Publishers
Germany,fhl Verlag Leipzig UG,Publishers
Germany,"Felix-Mendelssohn-Bartholdy-Stiftung, Mendelssohn-Haus",Publishers / Comprehensive Publishing
Germany,epubli GmbH,Publishers
South Africa,SHUTER AND SHOOTER PUBLISHERS (PTY) LTD,Publishers / Children's Publishing
Germany,EMOTION Verlag GmbH,Publishers
Germany,EMVD im Gemeinschaftswerk der Evangelischen Publizistik GmbH,Publishers
France,HC EDITIONS,Publishers
United Kingdom,HEADLINE PUBLISHING GROUP,Publishers
United States,"SILVERMINE INTERNATIONAL BOOKS, LLC",Publishers
Sweden,HEDLUND LITERARY AGENCY,Publishers
Germany,"Erlesene Bücher, Verlag",Publishers
Germany,Ernst Barlach Stiftung Güstrow,Publishers
Germany,Ernst Reinhardt Verlag GmbH & Co. KG,Publishers
United Kingdom,HELEN EXLEY®,Publishers
Germany,Eudora-Verlag Leipzig,Publishers
Germany,Eselsohr Leseabenteuer GmbH,Publishers
Germany,"Esslinger Verlag, J.F. Schreiber GmbH",Publishers / Children's Publishing
Canada,HELEN HELLER AGENCY INC,Publishers
Germany,EULENSPIEGEL GmbH,Publishers / Comprehensive Publishing
Italy,SUSANNA ZEVI AGENZIA LETTERARIA,Publishers
United Kingdom,SUSANNA LEA ASSOCIATES,Publishers
Russia,Издательство «Азбука»,Publishers / Comprehensive Publishing
Romania,HUMANITAS FICTION,Publishers
United Kingdom,SKANTRANS-PSL LTD,Publishers
Ukraine,Скіф,Publishers / Comprehensive Publishing
Slovakia,SLOVENSKÝ SPISOVATEĽ,Publishers
Czech Republic,SLOVART,Publishers / Comprehensive Publishing
Germany,Figuya,Publishers / Comics Publishing
United Kingdom,SMALL WORLD CREATIONS LTD,Publishers / Children's Publishing
Germany,EuroNatur Service GmbH,Publishers
Germany,Europa Sony Music Entertainment Germany GmbH,Publishers / Children's Publishing
Germany,Europa Verlag GmbH & Co.KG,Publishers / Comprehensive Publishing
Germany,Ev.-Luth. Kirchengemeinde - f.i.t.-Projekt Naila,Publishers
United Kingdom,HODDER & STOUGHTON,Publishers
United Kingdom,HODDER EDUCATION,Publishers
Czech Republic,Moon & Light s.r.o.,Publishers / Comprehensive Publishing
Czech Republic,MUSICA GIOIA,Publishers / Culture & Art Publishing
United Kingdom,HOLLAND PUBLISHING LTD,Publishers
Czech Republic,Muzeum hlavního města Prahy,Publishers / Comprehensive Publishing
Czech Republic,Nakladatelství MOBA,Publishers / Literature Publishing
Czech Republic,Nakladatelství MOTTO - Albatros Media a.s.,Publishers / Comprehensive Publishing
United Kingdom,SUSANNA GEOGHEGAN,Publishers
Ukraine,Промінь,Publishers / Comprehensive Publishing
United Kingdom,SUPADÜ LTD,Publishers
Germany,"Edition Colibri, Jörg Drews",Publishers
Germany,EDITION digital Pekrul & Sohn GbR,Publishers
Germany,edition ebersbach,Publishers
Germany,Edition Fackelträger,Publishers
Germany,Edition Förg GmbH,Publishers
Germany,"edition.fotoTAPETA, Dagmar Engel und Andreas Rostek GbR |",Publishers
United States,CrossBooks,Publishers / Comprehensive Publishing
Germany,Edition Trötsch,Publishers
Germany,"Edition Wannenbuch, Jens Korch & Grit Strietzel GbR",Publishers
Germany,edition winterwork,Publishers
Germany,edition zweihorn GmbH & Co.KG,Publishers
Germany,"Edition ZWIEFACH, Ein Künstlerverlag",Publishers
Switzerland,HAUPT VERLAG AG,Publishers
Germany,editionRester,Publishers
Germany,"Egmont Manga (EMA), ein Imprint der Egmont Verlagsgesellschaften",Publishers
Germany,EHP - Verlag Andreas Kohlhage,Publishers
Ukraine,Ранок,Publishers / Comprehensive Publishing
United States,Creative Teaching Press,Publishers / Textbook Publishing
Ukraine,Родовід,Publishers / Comprehensive Publishing
United Kingdom,HAUS PUBLISHING,Publishers
Ukraine,Розумна дитина,Publishers / Comprehensive Publishing
Germany,"Ehrt, Edition - Rainer Ehrt Künstlerbücher & Graphik",Publishers
Ukraine,Світ,Publishers / Comprehensive Publishing
Germany,Elektrischer Verlag,Publishers
Ukraine,Світло й Тінь,Publishers
Germany,Elisabeth Sandmann Verlag GmbH,Publishers
Germany,Edition Freiberg,Publishers
United Kingdom,HACHETTE UK,Publishers
Germany,"edition fünf, Verlag Silke Weniger",Publishers
Ukraine,Підручники і посібники,Publishers / Comprehensive Publishing
Ukraine,Підручники і посібники,Publishers / Comprehensive Publishing
China,SHANGHAI CENTURY PUBLISHING SCIENTIFIC & TECHNOLOGICAL EDUCATION HOUSE,Publishers
Ukraine,Світ Софії,Publishers
Germany,Elysion-Books,Publishers
United States,SHARJAH INTERNATIONAL BOOK FAIR,Publishers
United Kingdom,HAMMERSMITH BOOKS LIMITED,Publishers
United Kingdom,HANNECKE DISPLAY SYSTEMS GMBH & CO.KG,Publishers
Ukraine,Підручники і посібники,Publishers / Comprehensive Publishing
United Kingdom,HARDMAN & SWAINSON,Publishers
Germany,edition MARTIN GOLD,Publishers
Germany,Edition Mueckenschwarm,Publishers
Germany,edition noir,Publishers
Ukraine,видавництво «Махаон-Україна»,Publishers / Children's Publishing
Germany,edition promenade,Publishers
Germany,Edition Ruprecht,Publishers
Germany,"Edition SEE-IGEL, Klassische Musik und Sprache",Publishers
Germany,Edition Subkultur,Publishers
Germany,edition the global village,Publishers
Germany,Edition Solitude,Publishers / Comprehensive Publishing
Ukraine,Попурри,Publishers / Comprehensive Publishing
Ukraine,Початкова школа,Publishers / Comprehensive Publishing
United Kingdom,SWISS BOOKSELLERS AND PUBLISHERS ASSOCIATION,Publishers
Ukraine,Право,Publishers / Comprehensive Publishing
United Kingdom,SWEET & MAXWELL LTD,Publishers
Ukraine,Пегас,Publishers / Children's Publishing
Spain,EDITORIAL MICHELÍN MAPAS Y GUÍAS,Publishers
United Kingdom,SELFMADEHERO,Publishers
Ukraine,Паіс,Publishers / Comprehensive Publishing
United Kingdom,GALLIC BOOKS,Publishers
China,SHANGHAI BOOK TRADERS,Publishers
Germany,Dusyma Kindergartenbedarf GmbH,Publishers / Children's Publishing
Ukraine,"Видавництво ""Скриня""",Publishers / Children's Publishing
Germany,"Dux, Edition, Halbig GbR",Publishers
Germany,DVS Media GmbH,Publishers
Ukraine,Парламентське видавництво,Publishers / Comprehensive Publishing
Ukraine,Перо,Publishers
Ukraine,Видавничий дім Міжрегіональної академії управління персоналом,Publishers / Comprehensive Publishing
Ukraine,Перун,Publishers / Comprehensive Publishing
United States,Cypress House,Publishers / Comprehensive Publishing
Germany,e-enterprise,Publishers
Germany,EB-Verlag Dr. Brandt,Publishers
Germany,ebuch e.G. Informationsgemeinschaft Buch,Publishers
Germany,"EchinoMedia Verlag, Dr. K. Ramm",Publishers
United States,GARETH STEVENS PUBLISHING,Publishers
Germany,"Econ Verlag, Ullstein Buchverlage GmbH",Publishers / Comprehensive Publishing
Ukraine,Манго-Воок,Publishers
Ukraine,Мандрівець,Publishers
India,THOMSON DIGITAL,Publishers
Germany,Deutsche Zentralbücherei für Blinde (DZB),Publishers
United Kingdom,EXPRESS PUBLISHING,Publishers
Ukraine,Махаон–Україна,Publishers
France,TRACUS ARTE,Publishers
Ukraine,Мистецтво,Publishers / Comprehensive Publishing
United States,TRAFALGAR SQUARE PUBLISHING,Publishers
Germany,Edel Germany GmbH,Publishers
Spain,MILLENNIUM LIBER,Publishers
Germany,Edition AZUR,Publishers
Germany,GERANOVA VERLAGSHAUS GMBH,Publishers
Germany,"Edition A·B·Fischer, Fischer & Fischer GbR",Publishers
Germany,"Edition Balance, Henry Günther",Publishers
Germany,Edition bi:libri Schlieker & Koth Verlag,Publishers
Germany,"Edition Bracklo, Gabriela Bracklo",Publishers
Germany,Edition Büchergilde GmbH,Publishers
Ukraine,Місіонер,Publishers / Comprehensive Publishing
United Kingdom,FABER AND FABER LTD,Publishers
Ukraine,МК-Пресс,Publishers
Spain,TRIDENT MEDIA GROUP,Publishers
Ukraine,Наірі,Publishers
Ukraine,Наука і техніка,Publishers / Science and Technology Publishing
France,FAYARD,Publishers
Ukraine,Наукова думка НАН України,Publishers / Comprehensive Publishing
United Kingdom,FICTION EXPRESS,Publishers
United Kingdom,FIGHTING HIGH PUBLISHING,Publishers
Sweden,FILL & TELL AB,Publishers
United Kingdom,FINE FEATHER PRESS,Publishers
Germany,"Droemer Knaur, Verlagsgruppe",Publishers
Japan,SANDSTONE PRESS LTD,Publishers
United Kingdom,SARABAND,Publishers
Ukraine,Основа,Publishers / Comprehensive Publishing
Russia,GAIDAR INSTITUTE PRESS,Publishers
Germany,Cross Cult,Publishers
Germany,Dryas Verlag,Publishers
France,SCRINEO,Publishers
Spain,SCRIPTORIUM S.L,Publishers
Germany,DuMont Kalenderverlag GmbH & Co. KG,Publishers
Germany,cubiculum - Der etwas andere Verlag,Publishers
Germany,"CULTURCON medien, Inh. Bernd Oeljeschläger",Publishers
Germany,culturtraeger GmbH,Publishers
Germany,Cursed Verlag,Publishers
Singapore,Craft Print International Ltd.,Publishers / Comprehensive Publishing
Germany,"DeBehr, Verlag",Publishers
Germany,"De Bur, Thomas",Publishers
Germany,"DasErste.de - Onlineredaktion, Programmdirektion Erstes Deutsches Fernsehen",Publishers
Germany,Das Sortiment,Publishers
Singapore,ETHOS BOOKS,Publishers
Germany,dahlemer verlagsanstalt Michael Fischer,Publishers
Germany,"Dagyeli, J&D Verlag GmbH",Publishers
Germany,Der Audio Verlag GmbH,Publishers
United States,EVAN-MOOR EDUCATIONAL PUBLISHERS,Publishers
Germany,Der Buchbinder,Publishers
Germany,Der Comic-Laden Kappler & Tittel OHG,Publishers / Comics Publishing
United Kingdom,THE PROJECT FACTORY,Publishers
United Kingdom,EDINBURGH UNIVERSITY PRESS,Publishers
United Kingdom,EDITEUR LTD,Publishers
Australia,THIELE & BRANDSTÄTTER VERLAG,Publishers
Italy,EDIZIONI DEL BALDO,Publishers
Germany,Der Comicwurm Ralf Heinig,Publishers / Comics Publishing
Germany,Der Hörverlag in der Verlagsgruppe Random House,Publishers
India,EXETER PREMEDIA SERVICES,Publishers
Ukraine,Медицина,Publishers
Germany,Der Kleine Buch Verlag Sonia Lauinger,Publishers
Ukraine,Медицина і право,Publishers
Germany,Der Theaterverlag - Friedrich Berlin GmbH,Publishers
Germany,Desina Verlag GmbH,Publishers
Germany,Deutsch-Finnische Gesellschaft e. V.,Publishers
Ukraine,Медобори-2006,Publishers
Ukraine,Майстер-клас,Publishers
Ukraine,Майстер книг,Publishers
United States,"EXPERT SUBJECTS, LLC.",Publishers
Italy,EDIZIONI PIEMME SPA,Publishers
United Kingdom,EDWARD ELGAR PUBLISHING,Publishers
Germany,EGMONT VERLAGSGESELLSCHAFTEN GMBH,Publishers
Germany,Codex-Novus-Verlag Dieter Stiewi,Publishers
Germany,CoLibri System GmbH & Co. KG,Publishers
Ukraine,Коло,Publishers / Comprehensive Publishing
Germany,Collegium Hungaricum Berlin Ungarisches Kulturinstitut,Publishers
Ukraine,Колоквіум,Publishers / Comprehensive Publishing
Germany,Collection Rolf Heyne GmbH & Co. KG,Publishers
Germany,Comic Culture Verlag,Publishers / Comics Publishing
Germany,BVA Bielefelder Verlag GmbH & Co. KG,Publishers
United States,EINSTEIN THOMPSON AGENCY,Publishers
United Kingdom,TURPIN DISTRIBUTION SERVICES LTD,Publishers
Spain,TUSQUETS EDITORES S.A,Publishers
United States,"TYNDALE HOUSE PUBLISHERS, INC.",Publishers
United States,EMMA SWEENEY AGENCY,Publishers
Ukraine,Літопис,Publishers
Germany,Comic Planet Duisburg GbR,Publishers / Comics Publishing
Ukraine,Лотос,Publishers / Comprehensive Publishing
Germany,Comic Planet GmbH & Co. KG,Publishers / Comics Publishing
Germany,Comic Planet Münster GbR,Publishers / Comics Publishing
Germany,Comic Planet Rheine GbR,Publishers / Comics Publishing
Germany,comicplus+ Verlag Sackmann & Hörndl,Publishers / Comics Publishing
Germany,Comics alt + neu Racing Rainer,Publishers / Comics Publishing
Japan,"ENGLISH AGENCY (JAPAN) LTD, THE",Publishers
United States,Courier New Media,Publishers / Comprehensive Publishing
Germany,COMPACT Magazin GmbH,Publishers / Comprehensive Publishing
Korea,"ENGLISH EGG CO., LTD.",Publishers
Germany,Connewitzer Verlagsbuchhandlung Peter Hinke e. K.,Publishers
Czech Republic,Masarykova univerzita / Nakladatelství Munipress,Publishers / Scholarly Publishing
Ukraine,Комора,Publishers / Comprehensive Publishing
Czech Republic,Meander Publishing - Ing. Ivana Pecháčková,Publishers / Children's Publishing
Czech Republic,MEGABOOKS CZ spol. s r. o.,Publishers / Comprehensive Publishing
Czech Republic,Mendelova univerzita v Brně,Publishers / Scholarly Publishing
Czech Republic,"METAFORA, s.r.o.",Publishers / Literature Publishing
Slovakia,Mikula s.r.o.,Publishers / Reference Books Publishing
Czech Republic,MINDOK s.r.o.,Publishers / Children's Publishing
United Kingdom,THE GIFTED STATIONERY COMPANY.COM,Publishers
Czech Republic,"MM PRODUCTION, s.r.o.",Publishers / Other
Turkey,DOĞAN EGMONT,Publishers
Poland,DRUKARNIA WYDAWNICZA IM. ANCZYCA,Publishers
Germany,DuMont Literatur und Kunst Verlag,Publishers
Ukraine,Країна мрій,Publishers / Children's Publishing
United Kingdom,DUNEDIN ACADEMIC PRESS,Publishers
Ukraine,Критика,Publishers
Ukraine,Крок,Publishers / Comprehensive Publishing
United Kingdom,THE HISTORY PRESS,Publishers
United Kingdom,EBURY PUBLISHING/BBC,Publishers
Ukraine,Купола,Publishers
Ukraine,Саквояж,Publishers / Comprehensive Publishing
Ukraine,Кінда,Publishers / Comprehensive Publishing
Czech Republic,Radek Červený - Knihovnice.cz,Publishers / Comprehensive Publishing
Czech Republic,Kulturní sdružení občanů německé národnosti v ČR o.s.,Publishers / Comprehensive Publishing
Germany,"Kubon & Sagner GmbH, Serving libraries since 1947",Publishers / Comprehensive Publishing
United Kingdom,DEEP BOOKS LTD,Publishers
Germany,Calliopeia - Kalligrafie & Holz Inh. Anke Wiedemann,Publishers
Slovakia,Knižné centrum,Publishers / Comprehensive Publishing
Czech Republic,"Knihy nejen pro bohaté, s.r.o.",Publishers / Comprehensive Publishing
United Kingdom,123 Publishing House Limited,Publishers / Comprehensive Publishing
United Kingdom,THAMES & HUDSON LTD,Publishers
Egypt,3D Computer Center,Publishers / Comprehensive Publishing
United Arab Emirates,3G E Learning Library,Publishers / Comprehensive Publishing
Lebanon,aA studio,Publishers / Science and Technology Publishing
United Kingdom,DAVID LUXTON ASSOCIATES LTD,Publishers
Czech Republic,LINGEA,Publishers / Reference Books Publishing
Germany,Cartoonair am Meer Wolfgang Kleinert,Publishers
Saudi Arabia,Al Akhyar Bookstore,Publishers / Comprehensive Publishing
Denmark,THE DANISH ARTS COUNCIL,Publishers / Culture & Art Publishing
Ukraine,Книги академіка Миколи Левашова,Publishers / Comprehensive Publishing
United Kingdom,ENGLISH HERITAGE,Publishers
Germany,Cornelsen Experimenta GmbH,Publishers
Germany,Cox Verlag GbR,Publishers
Germany,CPI books GmbH,Publishers
Ukraine,ЛАДО,Publishers
United States,THE MYRTLE PRESS,Publishers / Comprehensive Publishing
Ukraine,Кліо,Publishers / Literature Publishing
Germany,"Carbenay, Christophe",Publishers
Czech Republic,Knihovnicka.cz,Publishers / Comprehensive Publishing
Germany,CARGO-Verlag Edgar Sommer e. K.,Publishers
Germany,CARIVARI - GOLDE,Publishers
Czech Republic,"KNIHA ZLIN, Ing. Marek Turňa",Publishers / Comprehensive Publishing
Czech Republic,"Klub slovenské kultury, Dokumentační středisko slovenské menšiny v ČR",Publishers / Comprehensive Publishing
Norway,DEN NORSKE FORLEGGERFORENING,Publishers
Ukraine,Клуб сімейного дозвілля,Publishers / Comprehensive Publishing
Czech Republic,Klub Polski o.s.,Publishers / Comprehensive Publishing
United States,Killer Nashville,Publishers / Other
Kuwait,Achievement for Publishing and Distribution,Publishers / Comprehensive Publishing
Austria,Adeva Graz Austria,Publishers / Comprehensive Publishing
Germany,carnivora Verlagsservice,Publishers
Iran,Ahlulbayt World Assembly,Publishers / Religious Publishing
Ukraine,Карпати,Publishers
Egypt,THE AMERICAN UNIVERSITY IN CAIRO PRESS,Publishers / Comprehensive Publishing
Kuwait,Aafaq Bookstore,Publishers / Comprehensive Publishing
Kuwait,Aahel Al Ather Bookshop for Publishing and Distribution,Publishers / Comprehensive Publishing
Egypt,Abad Al Rahman Bookshop,Publishers / Comprehensive Publishing
Jordan,ABC Publishers,Publishers / Children's Publishing
Italy,DE AGOSTINI LIBRI SPA,Publishers
Ukraine,Карти і Атласи,Publishers / Social Science Publishing
Palestine,Abu Ghosh Agency,Publishers / Comprehensive Publishing
Germany,Burg Verlag Hanns E. Findeiß,Publishers
Germany,Burgart-Presse Jens Henkel,Publishers
Jordan,Academic Book Center,Publishers / Comprehensive Publishing
